t,v_raw,v_filtered,u,x,y,dt
4.299999999999992717e+00,1.502194333362468992e+00,1.502226784206424970e+00,1.108885333579707755e-01,-1.873371975184235794e+01,-8.401305344910399597e+00,4.999999999999982236e-02
4.349999999999992539e+00,1.502011566258358410e+00,1.502052215678040925e+00,1.111492190642696665e-01,-1.865859519045126191e+01,-8.402983333183390968e+00,4.999999999999982236e-02
4.399999999999992362e+00,1.501827565306555146e+00,1.501869996280897235e+00,1.114774343322212369e-01,-1.858348191281938355e+01,-8.404745409080172536e+00,4.999999999999982236e-02
4.449999999999992184e+00,1.501729012794672080e+00,1.501755641135622987e+00,1.115634179695305095e-01,-1.850837550832858369e+01,-8.406588872821028957e+00,4.999999999999982236e-02
4.499999999999992006e+00,1.501634500000693428e+00,1.501657380605581737e+00,1.116066192610585261e-01,-1.843327598579074333e+01,-8.408515258473926224e+00,4.999999999999982236e-02
4.549999999999991829e+00,1.501617034558992980e+00,1.501624654942864456e+00,1.113998851132053103e-01,-1.835817948776752218e+01,-8.410529807646838663e+00,4.999999999999982236e-02
4.599999999999991651e+00,1.501540298225091385e+00,1.501556231151014220e+00,1.113470755675735058e-01,-1.828308945909403604e+01,-8.412639358584129923e+00,4.999999999999982236e-02
4.649999999999991473e+00,1.501431452380329379e+00,1.501455020045863842e+00,1.114435486560075850e-01,-1.820800787292357370e+01,-8.414851129211022851e+00,4.999999999999982236e-02
4.699999999999991296e+00,1.501305431862774098e+00,1.501333685421032627e+00,1.116438521915178450e-01,-1.813293580392093673e+01,-8.417167905101154091e+00,4.999999999999982236e-02
4.749999999999991118e+00,1.501223376135521814e+00,1.501244210868321272e+00,1.117378133610075208e-01,-1.805787112317949195e+01,-8.419588464837149289e+00,4.999999999999982236e-02
4.799999999999990941e+00,1.501167037491677014e+00,1.501181613659713587e+00,1.117394075279487531e-01,-1.798281251554072568e+01,-8.422107050836254771e+00,4.999999999999982236e-02
4.849999999999990763e+00,1.501162793899902148e+00,1.501166348493381708e+00,1.115587622314995198e-01,-1.790775704821162861e+01,-8.424714875428529481e+00,4.999999999999982236e-02
4.899999999999990585e+00,1.501098848549036857e+00,1.501111597641716644e+00,1.115440577458097771e-01,-1.783270769930803823e+01,-8.427406555968126156e+00,4.999999999999982236e-02
4.949999999999990408e+00,1.500967116270072177e+00,1.500994405276240284e+00,1.117980774670653821e-01,-1.775766800845373794e+01,-8.430180150748633139e+00,4.999999999999982236e-02
4.999999999999990230e+00,1.500856961202378992e+00,1.500882921034685902e+00,1.120527217785161067e-01,-1.768263687562282271e+01,-8.433036400345468309e+00,4.999999999999982236e-02
5.049999999999990052e+00,1.500755397939723457e+00,1.500779483941160120e+00,1.122971705181222690e-01,-1.760761401747368637e+01,-8.435976207153476736e+00,4.999999999999982236e-02
5.099999999999989875e+00,1.500786658972590448e+00,1.500785303784203606e+00,1.121124909052527707e-01,-1.753259250682363657e+01,-8.438995754945466388e+00,4.999999999999982236e-02
5.149999999999989697e+00,1.501220799062181976e+00,1.501138544629021077e+00,1.104942429809994131e-01,-1.745755111060650577e+01,-8.442073504303531095e+00,4.999999999999982236e-02
