t,v_raw,v_filtered,u,x,y,dt
2.949999999999997513e+00,1.512911254417717011e+00,1.513077982123133935e+00,1.017054586751491296e-01,-2.177949051499258104e+01,-8.471035027425202202e+00,4.999999999999982236e-02
2.999999999999997335e+00,1.511919466098949671e+00,1.512138281511414384e+00,1.028837786321181724e-01,-2.170388026216250665e+01,-8.468963001248422273e+00,4.999999999999982236e-02
3.049999999999997158e+00,1.511190406473033265e+00,1.511369436942322064e+00,1.035513955915970952e-01,-2.162830825907400722e+01,-8.466819188118780204e+00,4.999999999999982236e-02
3.099999999999996980e+00,1.510595266378730761e+00,1.510741488310628045e+00,1.037966101229428340e-01,-2.155276790978554757e+01,-8.464597412021559464e+00,4.999999999999982236e-02
3.149999999999996803e+00,1.509664288891252593e+00,1.509867745580963483e+00,1.051846468746772123e-01,-2.147727710019405123e+01,-8.462303224856563943e+00,4.999999999999982236e-02
3.199999999999996625e+00,1.508989718713347861e+00,1.509155556567276513e+00,1.060867360712914875e-01,-2.140182259828560163e+01,-8.459920433957973884e+00,4.999999999999982236e-02
3.249999999999996447e+00,1.508448341269509108e+00,1.508581916985210825e+00,1.065644180078071379e-01,-2.132639782120827832e+01,-8.457444521368310930e+00,4.999999999999982236e-02
3.299999999999996270e+00,1.508050026456271286e+00,1.508150487600568246e+00,1.065740388504459180e-01,-2.125099608982453958e+01,-8.454869509236846881e+00,4.999999999999982236e-02
3.349999999999996092e+00,1.507396559407261583e+00,1.507538958049268629e+00,1.074151238690861376e-01,-2.117563018623507176e+01,-8.452208852762463920e+00,4.999999999999982236e-02
3.399999999999995914e+00,1.506811032432639808e+00,1.506948519822301602e+00,1.082953148585876768e-01,-2.110029624406255166e+01,-8.449474392720278004e+00,4.999999999999982236e-02
3.449999999999995737e+00,1.506231350256806101e+00,1.506366806090825960e+00,1.092612507083529083e-01,-2.102499386194940811e+01,-8.446675893454088424e+00,4.999999999999982236e-02
3.499999999999995559e+00,1.505929292428465738e+00,1.506011928085193796e+00,1.094118905809189357e-01,-2.094970939540347743e+01,-8.443802327051306733e+00,4.999999999999982236e-02
3.549999999999995381e+00,1.505500012277313004e+00,1.505596700684128431e+00,1.098844982774996870e-01,-2.087444959956392410e+01,-8.440842142508683921e+00,4.999999999999982236e-02
3.599999999999995204e+00,1.505040495934935052e+00,1.505145549442240105e+00,1.105908112343412242e-01,-2.079921664093107836e+01,-8.437791048517201631e+00,4.999999999999982236e-02
3.649999999999995026e+00,1.504788384433609849e+00,1.504855844189927350e+00,1.107245064732641504e-01,-2.072399997383242720e+01,-8.434644092039615515e+00,4.999999999999982236e-02
3.699999999999994849e+00,1.504498985288778012e+00,1.504566387228860602e+00,1.109168987699880038e-01,-2.064880170151409189e+01,-8.431398752902557803e+00,4.999999999999982236e-02
3.749999999999994671e+00,1.504046013567511109e+00,1.504144299456499301e+00,1.117157790458828126e-01,-2.057363070015575346e+01,-8.428055792503574395e+00,4.999999999999982236e-02
3.799999999999994493e+00,1.503666367544683746e+00,1.503756637222643189e+00,1.124597380688930892e-01,-2.049848283202023680e+01,-8.424622644702786545e+00,4.999999999999982236e-02
3.849999999999994316e+00,1.503511369973238976e+00,1.503557694972826431e+00,1.125055446600478071e-01,-2.042334631210476203e+01,-8.421103913099383220e+00,4.999999999999982236e-02
3.899999999999994138e+00,1.503212561557517368e+00,1.503277748839393135e+00,1.129263295901323794e-01,-2.034822888624756843e+01,-8.417501779204659584e+00,4.999999999999982236e-02
3.949999999999993960e+00,1.502992387777646099e+00,1.503046285520210024e+00,1.132049355567926741e-01,-2.027312635578432065e+01,-8.413819705402097782e+00,4.999999999999982236e-02
3.999999999999993783e+00,1.502879193840224170e+00,1.502910753382010522e+00,1.131357451308556694e-01,-2.019803329627614730e+01,-8.410054894095527089e+00,4.999999999999982236e-02
4.049999999999993605e+00,1.502568070103523779e+00,1.502632794614330303e+00,1.136816989489537466e-01,-2.012296011865641532e+01,-8.406208881602385219e+00,4.999999999999982236e-02
4.099999999999993427e+00,1.502257381897534882e+00,1.502328288200732498e+00,1.143944042999383015e-01,-2.004790689449041707e+01,-8.402282095236447645e+00,4.999999999999982236e-02
