t,phase,target,v_raw,v_filtered,x,y,z,u,torque_L,torque_R,u_motor,dt
2.159999999999998,hold,1.5,1.4928276893411687,1.4932060342864184,-22.187971989190533,-8.43287895437481,0.1431279859327619,0.3008008260061296,0.2512538382734663,0.2512538382734663,0.9970390407677234,0.009999999999999787
2.1699999999999977,hold,1.5,1.4929330642570753,1.4930422522688125,-22.17303609648532,-8.432613320715665,0.14314664356777684,0.29795732991783086,0.25035097139550966,0.25035097139550966,0.9934562356964669,0.009999999999999787
2.1799999999999975,hold,1.5,1.4938946814188043,1.4935537097588076,-22.15809156482471,-8.43233775121014,0.14319632928852935,0.2954576075241628,0.24955725954107222,0.24955725954107222,0.9903065854804453,0.009999999999999787
2.1899999999999973,hold,1.5,1.495719045690365,1.494852911317742,-22.143129333819115,-8.432051883586476,0.1432646298435118,0.29280788080688674,0.2487159183138027,0.2487159183138027,0.9869679298166774,0.009999999999999787
2.199999999999997,hold,1.5,1.4982822796330875,1.4969105323069494,-22.128141565242803,-8.43175634432907,0.1433380793456392,0.28962330182461576,0.24770475079535204,0.24770475079535204,0.982955360299016,0.009999999999999787
2.209999999999997,hold,1.5,1.5013416119922391,1.4995691801181232,-22.11312295149119,-8.431450589796723,0.14340468797593392,0.2856748883336723,0.24645105054370767,0.24645105054370767,0.9779803593004273,0.009999999999999787
2.2199999999999966,hold,1.5,1.5045840733091709,1.5025781160327518,-22.09807144093944,-8.431134516480716,0.14345542089698904,0.2809093925657644,0.24493791032748152,0.24493791032748152,0.9719758346328632,0.009999999999999787
2.2299999999999964,hold,1.5,1.5076988868774484,1.5056505785395697,-22.082988235807832,-8.430808323383769,0.14348490979804715,0.27543518169806125,0.24319973889276844,0.24319973889276844,0.9650783289395573,0.009999999999999787
2.239999999999996,hold,1.5,1.5104659607780924,1.5085398078826833,-22.06787688164606,-8.430472331570689,0.14349179159729814,0.269470521255556,0.24130583990906415,0.24130583990906415,0.9575628567820006,0.009999999999999787
2.249999999999996,hold,1.5,1.5127170942788928,1.511046179720409,-22.05274272014517,-8.430126581389656,0.14347837770887675,0.2632981053131897,0.239345974399044,0.239345974399044,0.949785612694619,0.009999999999999787
2.259999999999996,hold,1.5,1.5143882414459797,1.5130514167557516,-22.03759177324338,-8.429771672170292,0.14344961867426756,0.25721004748734555,0.23741289427818196,0.23741289427818196,0.9421146598340554,0.009999999999999787
2.2699999999999956,hold,1.5,1.5155126332098428,1.5145281466282063,-22.022429740105114,-8.429407963376084,0.14341210524724712,0.2514581908276167,0.23558656475158488,0.23558656475158488,0.9348673204427971,0.009999999999999787
2.2799999999999954,hold,1.5,1.5161887985722395,1.5155245377946263,-22.007261290345,-8.429036256234006,0.1433727890387759,0.24622193919940155,0.23392395013459397,0.23392395013459397,0.9282696433912458,0.009999999999999787
2.289999999999995,hold,1.5,1.5165868585783446,1.5161619302648572,-21.992089341706965,-8.428657198142975,0.14333803674280604,0.24158326116069345,0.2324510770837434,0.2324510770837434,0.9224249090624739,0.009999999999999787
2.299999999999995,hold,1.5,1.5168809753650547,1.5165933573249757,-21.97691500576523,-8.428271512196458,0.14331277101994225,0.23752837174070962,0.2311635685951101,0.2311635685951101,0.9173157483932941,0.009999999999999787
2.3099999999999947,hold,1.5,1.5172124970627043,1.5169648411676129,-21.96173792410358,-8.427879827185757,0.14330006267448558,0.23396956284763681,0.23003357559538162,0.23003357559538162,0.9128316491880223,0.009999999999999787
2.3199999999999945,hold,1.5,1.5177103998023147,1.5174121763484338,-21.94655638381949,-8.427483341403818,0.14330096947604712,0.23076443752326609,0.22901588420238744,0.22901588420238744,0.9087931912793152,0.009999999999999787
2.3299999999999943,hold,1.5,1.5184369064380485,1.5180270144022026,-21.93136802808062,-8.427082599630006,0.14331492190199074,0.2277495136705642,0.22805858558067754,0.22805858558067754,0.9049943872249109,0.009999999999999787
2.339999999999994,hold,1.5,1.5194111732871731,1.518857509733185,-21.916170271100732,-8.426678982499972,0.14334027915916092,0.22476707048551173,0.2271116002205597,0.2271116002205597,0.9012365088117449,0.009999999999999787
2.349999999999994,hold,1.5,1.5205659635566644,1.5198825820272726,-21.900961437095937,-8.426262228674261,0.14337406582027223,0.22170069969200057,0.22613796616620402,0.22613796616620402,0.8973728816119207,0.009999999999999787
2.3599999999999937,hold,1.5,1.5221859268116378,1.5212645888978917,-21.88573626120728,-8.4258457742276,0.14340627454817234,0.21836905130721948,0.22508010117106836,0.22508010117106836,0.8931750046470966,0.009999999999999787
2.3699999999999934,hold,1.5,1.5239546442605743,1.5228786221155013,-21.870493068720002,-8.42543321544466,0.1434326055796366,0.21469137270568825,0.22391236466151013,0.22391236466151013,0.8885411296091672,0.009999999999999787
2.3799999999999932,hold,1.5,1.5256562166150187,1.5245451788152118,-21.855232652340334,-8.425018039208343,0.14345078078773876,0.21069747163530966,0.22264422119364355,0.22264422119364355,0.8835088142604902,0.009999999999999787
2.389999999999993,hold,1.5,1.5271952431691729,1.5261352174275884,-21.839956683375753,-8.424598500393001,0.1434593193295736,0.20647986386967881,0.22130504637590043,0.22130504637590043,0.8781946284757953,0.009999999999999787
2.399999999999993,hold,1.5,1.5285331547685523,1.5275739798321668,-21.824667092382647,-8.424179334370823,0.14345764494712615,0.20215309324873157,0.21993121016833725,0.21993121016833725,0.8727428974934017,0.009999999999999787
2.4099999999999926,hold,1.5,1.5296027232343847,1.5287912258734977,-21.809366632549747,-8.423761493072153,0.14344757543486603,0.1978474322610366,0.21856407669152436,0.21856407669152436,0.8673177646489062,0.009999999999999787
2.4199999999999924,accelerate,1.5,1.5303571272734904,1.5297307667134934,-21.7940586014357,-8.423343775772294,0.14343233054289412,0.19369871054036844,0.21724677457077785,0.21724677457077785,0.8620903752808644,0.009999999999999787
2.429999999999992,accelerate,1.5,1.5308661749934898,1.5304120116814912,-21.77874553347137,-8.422926458839095,0.1434148580264116,0.18980715173896062,0.21601112682015478,0.21601112682015478,0.8571870111910904,0.009999999999999787
2.439999999999992,accelerate,1.5,1.5312251037008955,1.5308998668931337,-21.763428975038927,-8.422510204941776,0.14339778821471966,0.1862200180778352,0.21487214014007425,0.21487214014007425,0.8526672227780724,0.009999999999999787
2.4499999999999917,accelerate,1.5,1.53149585449315,1.5312574594531436,-21.748109842067812,-8.422095437138811,0.14338349759434807,0.18294270006107763,0.2138315261233934,0.2138315261233934,0.848537802076958,0.009999999999999787
